Anc	Der	PanelFreqA	PanelFreqB	Num
0	23	0.95	0.45	1
0	23	0.95	0.5	3
0	23	0.95	0.55	4
0	23	0.95	0.65	5
0	23	0.95	0.7	3
0	23	0.95	0.75	5
0	23	0.95	0.8	3
0	23	0.95	0.85	9
0	23	0.95	0.9	2
0	23	0.95	0.95	4
0	23	0.95	1.0	24
0	23	1.0	0.2	1
0	23	1.0	0.25	1
0	23	1.0	0.45	1
0	23	1.0	0.55	1
0	23	1.0	0.6	1
0	23	1.0	0.65	3
0	23	1.0	0.7	16
0	23	1.0	0.75	9
0	23	1.0	0.8	17
0	23	1.0	0.85	12
0	23	1.0	0.9	17
0	23	1.0	0.95	23
0	24	0.2	0.1	2
0	24	0.2	0.8	1
0	24	0.25	0.4	1
0	24	0.45	0.25	1
0	24	0.45	0.3	1
0	24	0.45	0.35	1
0	24	0.45	0.55	1
0	24	0.45	0.6	1
0	24	0.5	0.35	1
0	24	0.5	0.4	1
0	24	0.5	0.6	1
0	24	0.5	0.65	1
0	24	0.5	0.7	1
0	24	0.5	0.8	1
0	24	0.5	0.85	1
0	24	0.5	0.95	1
0	24	0.55	0.15	1
0	24	0.55	0.2	2
0	24	0.55	0.45	1
0	24	0.55	0.7	1
0	24	0.55	0.75	1
0	24	0.55	0.8	1
0	24	0.55	0.85	2
0	24	0.55	1.0	1
0	24	0.6	0.05	1
0	24	0.6	0.45	1
0	24	0.6	0.65	1
0	24	0.6	0.8	1
0	24	0.6	0.85	2
0	24	0.6	0.9	1
0	24	0.65	0.35	1
0	24	0.65	0.4	2
0	24	0.65	0.45	1
0	24	0.65	0.55	1
0	24	0.65	0.8	1
0	24	0.65	0.85	3
0	24	0.65	0.9	1
0	24	0.65	0.95	1
0	24	0.65	1.0	1
0	24	0.7	0.25	1
0	24	0.7	0.35	3
0	24	0.7	0.6	1
0	24	0.7	0.65	1
0	24	0.7	0.7	2
0	24	0.7	0.75	1
0	24	0.7	0.85	2
0	24	0.7	0.9	1
0	24	0.7	0.95	1
0	24	0.7	1.0	5
0	24	0.75	0.15	1
0	24	0.75	0.2	1
0	24	0.75	0.35	1
0	24	0.75	0.4	1
0	24	0.75	0.5	1
0	24	0.75	0.6	1
0	24	0.75	0.65	1
0	24	0.75	0.7	1
0	24	0.75	0.75	1
0	24	0.75	0.85	1
0	24	0.75	0.9	1
0	24	0.8	0.1	1
0	24	0.8	0.3	3
0	24	0.8	0.4	2
0	24	0.8	0.45	1
0	24	0.8	0.55	1
0	24	0.8	0.65	1
0	24	0.8	0.7	1
0	24	0.8	0.85	2
0	24	0.8	0.9	7
0	24	0.8	0.95	3
0	24	0.8	1.0	5
0	24	0.85	0.15	1
0	24	0.85	0.4	2
0	24	0.85	0.5	2
0	24	0.85	0.6	4
0	24	0.85	0.65	4
0	24	0.85	0.7	2
0	24	0.85	0.8	4
0	24	0.85	0.85	1
0	24	0.85	0.9	2
0	24	0.85	0.95	1
0	24	0.85	1.0	4
0	24	0.9	0.15	1
0	24	0.9	0.3	1
0	24	0.9	0.35	1
0	24	0.9	0.4	3
0	24	0.9	0.45	3
0	24	0.9	0.55	2
0	24	0.9	0.6	1
0	24	0.9	0.65	5
0	24	0.9	0.7	8
0	24	0.9	0.75	2
0	24	0.9	0.8	1
0	24	0.9	0.85	8
0	24	0.9	0.9	4
0	24	0.9	0.95	9
0	24	0.9	1.0	13
0	24	0.95	0.1	1
0	24	0.95	0.15	2
0	24	0.95	0.35	3
0	24	0.95	0.4	1
0	24	0.95	0.45	1
0	24	0.95	0.55	3
0	24	0.95	0.6	3
0	24	0.95	0.65	5
0	24	0.95	0.7	3
0	24	0.95	0.75	2
0	24	0.95	0.8	5
0	24	0.95	0.85	8
0	24	0.95	0.9	6
0	24	0.95	0.95	7
0	24	0.95	1.0	22
0	24	1.0	0.25	1
0	24	1.0	0.45	2
0	24	1.0	0.55	6
0	24	1.0	0.6	11
0	24	1.0	0.65	10
0	24	1.0	0.7	11
0	24	1.0	0.75	10
0	24	1.0	0.8	21
0	24	1.0	0.85	16
0	24	1.0	0.9	27
0	24	1.0	0.95	34
0	25	0.25	0.45	1
0	25	0.25	0.9	1
0	25	0.3	0.1	1
0	25	0.35	0.2	1
0	25	0.4	0.6	1
0	25	0.45	0.25	1
0	25	0.45	0.45	1
0	25	0.45	0.5	1
0	25	0.45	0.7	1
0	25	0.45	0.85	1
0	25	0.55	0.25	1
0	25	0.55	0.4	1
0	25	0.55	1.0	1
0	25	0.6	0.1	1
0	25	0.6	0.15	1
0	25	0.6	0.2	1
0	25	0.6	0.25	1
0	25	0.6	0.3	1
0	25	0.6	0.6	1
0	25	0.6	0.7	1
0	25	0.6	0.8	1
0	25	0.6	0.9	1
0	25	0.65	0.35	2
0	25	0.65	0.65	1
0	25	0.65	0.8	1
0	25	0.65	0.9	2
0	25	0.65	0.95	1
0	25	0.65	1.0	2
0	25	0.7	0.1	1
0	25	0.7	0.25	1
0	25	0.7	0.4	1
0	25	0.7	0.45	1
0	25	0.7	0.55	1
0	25	0.7	0.75	2
0	25	0.7	0.8	1
0	25	0.7	0.9	4
0	25	0.7	0.95	1
0	25	0.7	1.0	1
0	25	0.75	0.25	2
0	25	0.75	0.3	1
0	25	0.75	0.5	3
0	25	0.75	0.55	1
0	25	0.75	0.65	2
0	25	0.75	0.7	1
0	25	0.75	0.75	1
0	25	0.75	0.8	1
0	25	0.75	0.85	1
0	25	0.75	0.9	2
0	25	0.75	0.95	2
0	25	0.75	1.0	5
0	25	0.8	0.05	1
0	25	0.8	0.25	2
0	25	0.8	0.4	1
0	25	0.8	0.45	1
0	25	0.8	0.5	3
0	25	0.8	0.65	1
0	25	0.8	0.7	2
0	25	0.8	0.8	1
0	25	0.8	0.85	1
0	25	0.8	0.9	3
0	25	0.8	0.95	1
0	25	0.8	1.0	4
0	25	0.85	0.2	1
0	25	0.85	0.3	1
0	25	0.85	0.4	2
0	25	0.85	0.45	1
0	25	0.85	0.55	7
0	25	0.85	0.6	5
0	25	0.85	0.65	7
0	25	0.85	0.7	3
0	25	0.85	0.75	4
0	25	0.85	0.8	2
0	25	0.85	0.85	5
0	25	0.85	0.9	6
0	25	0.85	0.95	7
0	25	0.85	1.0	11
0	25	0.9	0.35	1
0	25	0.9	0.45	2
0	25	0.9	0.5	1
0	25	0.9	0.55	1
0	25	0.9	0.6	2
0	25	0.9	0.65	3
0	25	0.9	0.7	3
0	25	0.9	0.75	2
0	25	0.9	0.8	5
0	25	0.9	0.85	5
0	25	0.9	0.9	5
0	25	0.9	0.95	6
0	25	0.9	1.0	15
0	25	0.95	0.15	3
0	25	0.95	0.35	1
0	25	0.95	0.4	1
0	25	0.95	0.5	1
0	25	0.95	0.55	6
0	25	0.95	0.6	3
0	25	0.95	0.65	9
0	25	0.95	0.7	4
0	25	0.95	0.75	7
0	25	0.95	0.8	5
0	25	0.95	0.85	11
0	25	0.95	0.9	5
0	25	0.95	0.95	2
0	25	0.95	1.0	24
0	25	1.0	0.3	1
0	25	1.0	0.35	2
0	25	1.0	0.4	2
